node_names,edges,0,1,2,3,4,5,6,7
xx_132,0.00995065,0.008189315,0.029672764,0.01137067,0.033736527,0.0145475,0.038928177,0.017901542,0.043787807
Helleia_helle,0.011041,0.007974805,0.025719592,0.011611467,0.03014626,0.014791027,0.035310406,0.018201465,0.04008141
xx_133,0.0076369606,0.005283947,0.03799878,0.008424948,0.04217461,0.0111265145,0.046972957,0.0143681755,0.05170955
Zerene_cesonia,0.012096,0.0053874655,0.04035468,0.008557921,0.044578284,0.011432678,0.049683582,0.014399564,0.054738186
xx_134,0.009378384,0.0045957207,0.026396673,0.007993334,0.030850297,0.011441764,0.035811547,0.014901882,0.040906914
Pontia_daplidice,0.014563,0.0064223036,0.02789447,0.009696122,0.031713657,0.012601572,0.036808465,0.015703678,0.0418123
Hebomoia_glaucippe,0.01491,0.0042433967,0.030780794,0.00729626,0.0353832,0.010055955,0.040819723,0.012650901,0.046343774
Anthocharis_cardamines,0.010251,0.005842864,0.025966004,0.009563766,0.029928604,0.012925684,0.03469494,0.016375434,0.03947952
xx_135,0.009161079,0.011930948,0.023321077,0.014169111,0.029814703,0.016689708,0.036452558,0.019074246,0.043179635
Spathilepia_clonius,0.008106,0.011551094,0.018835077,0.014462008,0.023729552,0.015990933,0.030343559,0.01642366,0.037009347
Pyrgus_centaureae,0.004793,0.0130591085,0.02206613,0.016480036,0.0267361,0.019001935,0.032708053,0.021653231,0.038616795
Pyrgus_alveus,0.004719,0.013068663,0.023699567,0.016391778,0.027733454,0.019060474,0.033142094,0.021729566,0.03845599
xx_136,0.0129099395,0.014909162,0.026871294,0.017799009,0.030957786,0.019904116,0.035684682,0.02214737,0.040631145
xx_137,0.012395658,0.01287728,0.023538414,0.016049832,0.027746126,0.0184724,0.03252759,0.020983981,0.037749108
Clostera_curtula,0.035807,0.019011522,0.025470743,0.02198579,0.027904484,0.024345212,0.03130946,0.026630873,0.035256576
xx_138,0.017261064,0.020056998,0.023231253,0.023051227,0.025528463,0.02485255,0.029068047,0.027118925,0.032649472
xx_139,0.013688821,0.020272851,0.021640874,0.02297247,0.024503319,0.024728434,0.028426727,0.026553178,0.032326948
xx_140,0.012176427,0.012355162,0.019668551,0.015066999,0.023536135,0.016870458,0.028803667,0.018951708,0.03382314
xx_141,0.01194993,0.015622639,0.021843396,0.018508755,0.024674077,0.020920107,0.028382678,0.023460075,0.032450702
Thyatira_batis,0.013208,0.013809678,0.019790748,0.017307976,0.023263562,0.019101676,0.02811846,0.020903751,0.033032127
Drepana_falcataria,0.020492,0.011647113,0.01787758,0.015668673,0.02196037,0.018580057,0.027240882,0.021617439,0.03243607
Falcaria_lacertinaria,0.020359,0.010522848,0.018345233,0.01449353,0.022111585,0.01779707,0.02723394,0.021145528,0.032361314
xx_142,0.015271001,0.024068307,0.031167679,0.026503963,0.033316664,0.028872797,0.0355369,0.03137772,0.037544526
xx_143,0.014831217,0.01823528,0.026036497,0.020991798,0.028344847,0.023463665,0.03136611,0.026268499,0.033947762
xx_144,0.015637988,0.011722533,0.016191563,0.014825449,0.020916449,0.016326424,0.027186668,0.017464623,0.034003086
Automeris_io,0.027131,0.015554666,0.021660058,0.018354129,0.026208563,0.020869853,0.03160278,0.024403157,0.03649071
xx_145,0.007880224,0.01215152,0.018571438,0.015477375,0.022134457,0.017905818,0.026966386,0.020802204,0.031735975
Aplocera_praeformata,0.026464,0.011494939,0.018860867,0.015147535,0.020707943,0.018756334,0.024674026,0.021984825,0.029243462
